HallB,RICH,TEMP
pv,description,latching,annunciating,display title,display details
B_DET_RICH_TEMP_SEC1_ROW3_PANEL6,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW3_PANEL7,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW3_PANEL8,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW3_PANEL9,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW4_PANEL1,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW4_PANEL2,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW4_PANEL3,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW4_PANEL4,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW4_PANEL5,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW4_PANEL6,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW4_PANEL7,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW4_PANEL8,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW4_PANEL9,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW5_PANEL1,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW5_PANEL2,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW5_PANEL3,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW5_PANEL4,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
B_DET_RICH_TEMP_SEC1_ROW5_PANEL5,TEMP,TRUE,TRUE,Open RICH Master GUI,/CLAS12_Share/detectors/RICH/RICH_Master.opi
