LabVIEW Signal Name,Access Type,Data Type,EPICS Process Variable (PV),Units,PV #,Group #
FT EPICS Calorimeter Temp #1,Read Only,Double,B_FT_INTERLOCKS_CAL_TEMP_1,¡C,1,1,B_DET_FTC_INTLK_TEMP1
FT EPICS Calorimeter Temp #2,Read Only,Double,B_FT_INTERLOCKS_CAL_TEMP_2,¡C,2,2,B_DET_FTC_INTLK_TEMP2
FT EPICS Calorimeter Temp #3,Read Only,Double,B_FT_INTERLOCKS_CAL_TEMP_3,¡C,3,3,B_DET_FTC_INTLK_TEMP3
FT EPICS Calorimeter Temp #4,Read Only,Double,B_FT_INTERLOCKS_CAL_TEMP_4,¡C,4,4,B_DET_FTC_INTLK_TEMP4
FT EPICS Calorimeter Temp #5,Read Only,Double,B_FT_INTERLOCKS_CAL_TEMP_5,¡C,5,5,B_DET_FTC_INTLK_TEMP5
FT EPICS Calorimeter Temp #6,Read Only,Double,B_FT_INTERLOCKS_CAL_TEMP_6,¡C,6,6,B_DET_FTC_INTLK_TEMP6
FT EPICS Hodoscope Temp #1,Read Only,Double,B_FT_INTERLOCKS_HODO_TEMP_1,¡C,7,7,B_DET_FTH_INTLK_TEMP1
FT EPICS Hodoscope Temp #2,Read Only,Double,B_FT_INTERLOCKS_HODO_TEMP_2,¡C,8,8,B_DET_FTH_INTLK_TEMP2
FT EPICS Calorimeter Humidity #1,Read Only,Double,B_FT_INTERLOCKS_CAL_HUMIDITY_1,%RH,9,9,B_DET_FTC_INTLK_HUMID1
FT EPICS Calorimeter Humidity #2,Read Only,Double,B_FT_INTERLOCKS_CAL_HUMIDITY_2,%RH,10,10,B_DET_FTC_INTLK_HUMID2
FT EPICS Calorimeter Gas Flow,Read Only,Double,B_FT_INTERLOCKS_CAL_GAS_FLOW,sccm,11,11,B_DET_FTC_INTLK_FLOW
FT EPICS Cal Temp 1 Hi Status,Read Only,Boolean,B_FT_INTERLOCKS_CAL_TEMP_1_HI_STATUS,N/A,12,1,B_DET_FTC_INTLK_TEMP1_HI_STAT
FT EPICS Cal Temp 1 Lo Status,Read Only,Boolean,B_FT_INTERLOCKS_CAL_TEMP_1_LO_STATUS,N/A,13,2,B_DET_FTC_INTLK_TEMP1_LO_STAT
FT EPICS Cal Temp 2 Hi Status,Read Only,Boolean,B_FT_INTERLOCKS_CAL_TEMP_2_HI_STATUS,N/A,14,3,B_DET_FTC_INTLK_TEMP2_HI_STAT
FT EPICS Cal Temp 2 Lo Status,Read Only,Boolean,B_FT_INTERLOCKS_CAL_TEMP_2_LO_STATUS,N/A,15,4,B_DET_FTC_INTLK_TEMP2_LO_STAT
