Slot,Channel,Sector,Layer,Element,HVslot,HVChan,AlphaNumeric
3,0,2,1,1,1,0,S2E1
3,1,1,1,5,1,0,S1E5
3,2,8,1,8,1,0,S8E8
3,3,8,1,4,1,0,S8E4
3,4,8,1,2,1,0,S8E2
3,5,8,1,3,1,0,S8E3
3,6,6,1,1,1,0,S6E1
3,7,6,1,9,1,0,S6E9
3,8,6,2,4,2,3,S6E4
3,9,6,2,12,2,3,S6E12
3,10,4,2,3,2,3,S4E3
3,11,4,2,2,2,3,S4E2
3,12,4,2,5,2,3,S4E5
3,13,4,2,1,2,3,S4E1
3,14,2,2,4,2,3,S2E4
3,15,3,2,7,2,3,S3E7
4,0,5,1,2,1,1,S5E2
4,1,6,1,8,1,1,S6E8
4,2,8,1,7,1,1,S8E7
4,3,8,1,6,1,1,S8E6
4,4,8,1,10,1,1,S8E10
4,5,1,1,6,1,1,S1E6
4,6,2,1,2,1,1,S2E2
4,7,2,1,5,1,1,S2E5
4,8,6,2,5,2,4,S6E5
4,9,7,2,6,2,4,S7E6
4,10,4,2,7,2,4,S4E7
4,11,4,2,6,2,4,S4E6
4,12,3,2,2,2,4,S3E2
4,13,4,2,11,2,4,S4E11
4,14,2,2,8,2,4,S2E8
4,15,2,2,3,2,4,S2E3
5,0,7,1,4,1,2,S7E4
5,1,7,1,7,1,2,S7E7
5,2,7,1,2,1,2,S7E2
5,3,8,1,1,1,2,S8E1
5,4,1,1,2,1,2,S1E2
5,5,2,1,9,1,2,S2E9
5,6,1,1,3,1,2,S1E3
5,7,1,1,1,1,2,S1E1
5,8,5,2,5,2,5,S5E5
5,9,5,2,4,2,5,S5E4
5,10,4,2,4,2,5,S4E4
5,11,5,2,6,2,5,S5E6
5,12,3,2,6,2,5,S3E6
5,13,3,2,3,2,5,S3E3
5,14,3,2,1,2,5,S3E1
5,15,2,2,12,2,5,S2E12
6,0,7,1,5,1,3,S7E5
6,1,7,1,3,1,3,S7E3
6,2,7,1,1,1,3,S7E1
6,3,8,1,5,1,3,S8E5
6,4,1,1,4,1,3,S1E4
6,5,8,1,9,1,3,S8E9
6,6,1,1,7,1,3,S1E7
6,7,2,1,6,1,3,S2E6
6,8,2,2,7,2,6,S2E7
6,9,3,2,4,2,6,S3E4
6,10,4,2,8,2,6,S4E8
6,11,3,2,5,2,6,S3E5
6,12,4,2,12,2,6,S4E12
6,13,5,2,7,2,6,S5E7
6,14,5,2,1,2,6,S5E1
6,15,5,2,3,2,6,S5E3
7,0,6,1,11,1,4,S6E11
7,1,6,1,17,1,4,S6E17
7,2,6,1,18,1,4,S6E18
7,3,7,1,8,1,4,S7E8
7,4,8,1,12,1,4,S8E12
7,5,2,1,15,1,4,S2E15
7,6,2,1,16,1,4,S2E16
7,7,2,1,10,1,4,S2E10
7,8,2,2,18,2,7,S2E18
7,9,2,2,17,2,7,S2E17
7,10,2,2,11,2,7,S2E11
7,11,4,2,9,2,7,S4E9
7,12,5,2,8,2,7,S5E8
7,13,6,2,16,2,7,S6E16
7,14,6,2,15,2,7,S6E15
7,15,6,2,10,2,7,S6E10
8,0,8,1,13,1,5,S8E13
8,1,7,1,9,1,5,S7E9
8,2,1,1,8,1,5,S1E8
8,3,8,1,20,1,5,S8E20
8,4,1,1,9,1,5,S1E9
8,5,8,1,11,1,5,S8E11
8,6,2,1,14,1,5,S2E14
8,7,2,1,13,1,5,S2E13
8,8,3,2,9,2,8,S3E9
8,9,4,2,13,2,8,S4E13
8,10,3,2,8,2,8,S3E8
8,11,2,2,20,2,8,S2E20
8,12,2,2,19,2,8,S2E19
8,13,5,2,9,2,8,S5E9
8,14,4,2,20,2,8,S4E20
8,15,4,2,10,2,8,S4E10
9,0,8,1,16,1,6,S8E16
9,1,8,1,17,1,6,S8E17
9,2,6,1,7,1,6,S6E7
9,3,6,1,20,1,6,S6E20
9,4,6,1,19,1,6,S6E19
9,5,8,1,14,1,6,S8E14
9,6,8,1,15,1,6,S8E15
9,7,6,1,3,1,6,S6E3
9,8,4,2,16,2,9,S4E16
9,9,4,2,17,2,9,S4E17
9,10,6,2,6,2,9,S6E6
9,11,4,2,18,2,9,S4E18
9,12,4,2,19,2,9,S4E19
9,13,6,2,14,2,9,S6E14
9,14,6,2,13,2,9,S6E13
9,15,6,2,2,2,9,S6E2
10,0,8,1,19,1,7,S8E19
10,1,8,1,18,1,7,S8E18
10,2,4,1,15,1,7,S4E15
10,3,4,1,14,1,7,S4E14
10,4,4,1,16,1,7,S4E16
10,5,4,1,17,1,7,S4E17
10,6,4,1,19,1,7,S4E19
10,7,4,1,18,1,7,S4E18
10,8,4,2,15,2,10,S4E15
10,9,4,2,14,2,10,S4E14
10,10,8,2,18,2,10,S8E18
10,11,8,2,19,2,10,S8E19
10,12,8,2,16,2,10,S8E16
10,13,8,2,17,2,10,S8E17
10,14,8,2,14,2,10,S8E14
10,15,8,2,15,2,10,S8E15
13,0,6,1,13,1,8,S6E13
13,1,6,1,14,1,8,S6E14
13,2,6,1,10,1,8,S6E10
13,3,6,1,2,1,8,S6E2
13,4,6,1,6,1,8,S6E6
13,5,3,1,8,1,8,S3E8
13,6,4,1,13,1,8,S4E13
13,7,3,1,9,1,8,S3E9
13,8,1,2,8,2,11,S1E8
13,9,8,2,20,2,11,S8E20
13,10,1,2,9,2,11,S1E9
13,11,6,2,11,2,11,S6E11
13,12,6,2,7,2,11,S6E7
13,13,6,2,19,2,11,S6E19
13,14,6,2,20,2,11,S6E20
13,15,6,2,3,2,11,S6E3
14,0,5,1,9,1,9,S5E9
14,1,4,1,20,1,9,S4E20
14,2,4,1,9,1,9,S4E9
14,3,2,1,17,1,9,S2E17
14,4,2,1,18,1,9,S2E18
14,5,4,1,10,1,9,S4E10
14,6,2,1,20,1,9,S2E20
14,7,2,1,19,1,9,S2E19
14,8,2,2,15,3,0,S2E15
14,9,2,2,16,3,0,S2E16
14,10,8,2,12,3,0,S8E12
14,11,2,2,13,3,0,S2E13
14,12,2,2,14,3,0,S2E14
14,13,8,2,11,3,0,S8E11
14,14,8,2,13,3,0,S8E13
14,15,7,2,9,3,0,S7E9
15,0,2,1,11,1,10,S2E11
15,1,3,1,5,1,10,S3E5
15,2,4,1,12,1,10,S4E12
15,3,6,1,16,1,10,S6E16
15,4,6,1,15,1,10,S6E15
15,5,5,1,8,1,10,S5E8
15,6,5,1,1,1,10,S5E1
15,7,5,1,3,1,10,S5E3
15,8,2,2,10,3,1,S2E10
15,9,1,2,7,3,1,S1E7
15,10,8,2,9,3,1,S8E9
15,11,6,2,18,3,1,S6E18
15,12,6,2,17,3,1,S6E17
15,13,7,2,8,3,1,S7E8
15,14,7,2,3,3,1,S7E3
15,15,7,2,1,3,1,S7E1
16,0,2,1,7,1,11,S2E7
16,1,2,1,12,1,11,S2E12
16,2,3,1,6,1,11,S3E6
16,3,3,1,4,1,11,S3E4
16,4,4,1,8,1,11,S4E8
16,5,5,1,6,1,11,S5E6
16,6,5,1,5,1,11,S5E5
16,7,5,1,7,1,11,S5E7
16,8,2,2,9,3,2,S2E9
16,9,2,2,6,3,2,S2E6
16,10,1,2,4,3,2,S1E4
16,11,1,2,2,3,2,S1E2
16,12,7,2,2,3,2,S7E2
16,13,8,2,5,3,2,S8E5
16,14,7,2,5,3,2,S7E5
16,15,7,2,7,3,2,S7E7
17,0,2,1,3,2,0,S2E3
17,1,2,1,8,2,0,S2E8
17,2,3,1,2,2,0,S3E2
17,3,3,1,3,2,0,S3E3
17,4,3,1,1,2,0,S3E1
17,5,4,1,4,2,0,S4E4
17,6,4,1,6,2,0,S4E6
17,7,5,1,4,2,0,S5E4
17,8,2,2,2,3,4,S2E2
17,9,1,2,1,3,4,S1E1
17,10,1,2,3,3,4,S1E3
17,11,1,2,6,3,4,S1E6
17,12,8,2,7,3,4,S8E7
17,13,8,2,1,3,4,S8E1
17,14,7,2,4,3,4,S7E4
17,15,6,2,8,3,4,S6E8
18,0,6,1,5,2,1,S6E5
18,1,6,1,4,2,1,S6E4
18,2,4,1,2,2,1,S4E2
18,3,7,1,6,2,1,S7E6
18,4,4,1,7,2,1,S4E7
18,5,4,1,5,2,1,S4E5
18,6,3,1,7,2,1,S3E7
18,7,4,1,11,2,1,S4E11
18,8,6,2,1,3,5,S6E1
18,9,5,2,2,3,5,S5E2
18,10,8,2,6,3,5,S8E6
18,11,8,2,3,3,5,S8E3
18,12,8,2,8,3,5,S8E8
18,13,8,2,10,3,5,S8E10
18,14,2,2,5,3,5,S2E5
18,15,1,2,5,3,5,S1E5
19,1,2,1,4,2,2,S2E4
19,3,4,1,1,2,2,S4E1
19,4,4,1,3,2,2,S4E3
19,6,6,1,12,2,2,S6E12
19,9,2,2,1,3,6,S2E1
19,11,8,2,4,3,6,S8E4
19,12,8,2,2,3,6,S8E2
19,14,6,2,9,3,6,S6E9
