X,Y,Hodoscope Index,Calculated Component
-11,-3,2,176
-11,-2,1,198
-11,-1,-1,220
-11,1,-3,264
-11,2,-4,286
-11,3,-5,308
-10,-6,-5,111
-10,-5,-5,133
-10,-4,-5,155
-10,-3,-5,177
-10,-2,-5,199
-10,-1,0,221
-10,1,-5,265
-10,2,-5,287
-10,3,-5,309
-10,4,-5,331
-10,5,-5,353
-10,6,-4,375
-9,-7,375,90
-9,-6,353,112
-9,-5,331,134
-9,-4,309,156
-9,-3,287,178
-9,-2,265,200
-9,-1,221,222
-9,1,177,266
-9,2,155,288
-9,3,133,310
-9,4,111,332
-9,5,308,354
-9,6,286,376
-9,7,264,398
-8,-8,0,69
-8,-7,0,91
-8,-6,0,113
-8,-5,0,135
-8,-4,0,157
-8,-3,0,179
-8,-2,0,201
-8,-1,0,223
-8,1,0,267
-8,2,0,289
-8,3,0,311
-8,4,0,333
-8,5,0,355
-8,6,0,377
-8,7,0,399
-8,8,0,421
-7,-9,0,48
-7,-8,0,70
-7,-7,0,92
-7,-6,0,114
-7,-5,0,136
-7,-4,0,158
-7,-3,0,180
-7,-2,0,202
-7,-1,0,224
-7,1,0,268
-7,2,0,290
-7,3,0,312
-7,4,0,334
-7,5,0,356
-7,6,0,378
-7,7,0,400
-7,8,0,422
-7,9,0,444
-6,-10,0,27
-6,-9,0,49
-6,-8,0,71
-6,-7,0,93
-6,-6,0,115
-6,-5,0,137
-6,-4,0,159
-6,-3,0,181
-6,-2,0,203
-6,-1,0,225
-6,1,0,269
-6,2,0,291
-6,3,0,313
-6,4,0,335
-6,5,0,357
-6,6,0,379
-6,7,0,401
-6,8,0,423
-6,9,0,445
-6,10,0,467
-5,-10,0,28
-5,-9,0,50
-5,-8,0,72
-5,-7,0,94
-5,-6,0,116
-5,-5,0,138
-5,-4,0,160
-5,-3,0,182
-5,-2,0,204
-5,-1,0,226
-5,1,0,270
-5,2,0,292
-5,3,0,314
-5,4,0,336
-5,5,0,358
-5,6,0,380
-5,7,0,402
-5,8,0,424
-5,9,0,446
-5,10,0,468
-4,-10,0,29
