,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,,,X,Y,Hodoscope Index,Calculated Component,Size
,,,,,,,,,,,,,,,,,,,,,,,,,-6,-6,S7E8,115,2
,,,,,,,,,,,,,,,,,,,,,,,,,-6,-5,0,137,2
,,,,,,,,,,,,,,,,,,,,,,,,,-6,-4,0,159,2
,,,,,,,,,,,,,,,,,,,,,,,,,-6,-3,0,181,2
,,,,,,,,,,,,,,,,,,,,,,,,,-6,-2,0,203,2
,,,,,,,,,,,,,,,,,,,,,,,,,-6,-1,0,225,2
,,,,,,,,,,,,,,,,,,,,,,,,,-6,1,0,269,2
,,,,,,,,,,,,,,,,,,,,,,,,,-6,2,0,291,2
,,,,,,,,,,,,,,,,,,,,,,,,,-6,3,0,313,2
,,,,,,,,,,,,,,,,,,,,,,,,,-6,4,S1E8,335,2
,,,,,,,,,,,,,,,,,,,,,,,,,-6,5,0,357,2
,,,,,,,,,,,,,,,,,,,,,,,,,-6,6,S1E5,379,2
,,,,,,,,,,,,,,,,,,,,,,,,,-6,7,0,401,2
,,,,,,,,,,,,,,,,,,,,,,,,,-6,8,S1E2,423,2
,,,,,,,,,,,,,,,,,,,,,,,,,-6,9,0,445,2
,,,,,,,,,,,,,,,,,,,,,,,,,-6,10,0,467,2
,,,,,,,,,,,,,,,,,,,,,,,,,-5,-10,0,28,2
,,,,,,,,,,,,,,,,,,,,,,,,,-5,-9,0,50,2
,,,,,,,,,,,,,,,,,,,,,,,,,-5,-8,0,72,2
,,,,,,,,,,,,,,,,,,,,,,,,,-5,-7,0,94,2
,,,,,,,,,,,,,,,,,,,,,,,,,-5,-6,0,116,2
,,,,,,,,,,,,,,,,,,,,,,,,,-5,-5,0,138,2
,,,,,,,,,,,,,,,,,,,,,,,,,-5,-4,S8E13,160,1
,,,,,,,,,,,,,,,,,,,,,,,,,-5,-3,S8E14,182,1
,,,,,,,,,,,,,,,,,,,,,,,,,-5,-2,S8E15,204,1
,,,,,,,,,,,,,,,,,,,,,,,,,-5,-1,S8E16,226,1
,,,,,,,,,,,,,,,,,,,,,,,,,-5,1,S8E18,270,1
,,,,,,,,,,,,,,,,,,,,,,,,,-5,2,S8E19,292,1
,,,,,,,,,,,,,,,,,,,,,,,,,-5,3,S8E20,314,1
,,,,,,,,,,,,,,,,,,,,,,,,,-5,4,0,336,2
,,,,,,,,,,,,,,,,,,,,,,,,,-5,5,0,358,2
,,,,,,,,,,,,,,,,,,,,,,,,,-5,6,0,380,2
,,,,,,,,,,,,,,,,,,,,,,,,,-5,7,0,402,2
,,,,,,,,,,,,,,,,,,,,,,,,,-5,8,0,424,2
,,,,,,,,,,,,,,,,,,,,,,,,,-5,9,0,446,2
,,,,,,,,,,,,,,,,,,,,,,,,,-5,10,0,468,2
,,,,,,,,,,,,,,,,,,,,,,,,,-4,-11,S6E4,7,2
,,,,,,,,,,,,,,,,,,,,,,,,,-4,-10,0,29,2
,,,,,,,,,,,,,,,,,,,,,,,,,-4,-9,S6E8,51,2
,,,,,,,,,,,,,,,,,,,,,,,,,-4,-8,0,73,2
,,,,,,,,,,,,,,,,,,,,,,,,,-4,-7,S6E12,95,2
,,,,,,,,,,,,,,,,,,,,,,,,,-4,-6,0,117,2
,,,,,,,,,,,,,,,,,,,,,,,,,-4,-5,S6E20,139,1
,,,,,,,,,,,,,,,,,,,,,,,,,-4,-4,S7E9,161,1
,,,,,,,,,,,,,,,,,,,,,,,,,-4,-3,0,183,1
,,,,,,,,,,,,,,,,,,,,,,,,,-4,3,S1E9,315,1
,,,,,,,,,,,,,,,,,,,,,,,,,-4,4,S2E13,337,2
,,,,,,,,,,,,,,,,,,,,,,,,,-4,5,S2E9,359,2
,,,,,,,,,,,,,,,,,,,,,,,,,-4,6,0,381,2
,,,,,,,,,,,,,,,,,,,,,,,,,-4,7,S2E5,403,2
,,,,,,,,,,,,,,,,,,,,,,,,,-4,8,0,425,2
,,,,,,,,,,,,,,,,,,,,,,,,,-4,9,S2E1,447,2
,,,,,,,,,,,,,,,,,,,,,,,,,-4,10,0,469,2
,,,,,,,,,,,,,,,,,,,,,,,,,-3,-11,0,8,2
,,,,,,,,,,,,,,,,,,,,,,,,,-3,-10,0,30,2
,,,,,,,,,,,,,,,,,,,,,,,,,-3,-9,0,52,2
,,,,,,,,,,,,,,,,,,,,,,,,,-3,-8,0,74,2
,,,,,,,,,,,,,,,,,,,,,,,,,-3,-7,0,96,2
,,,,,,,,,,,,,,,,,,,,,,,,,-3,-6,0,118,2
,,,,,,,,,,,,,,,,,,,,,,,,,-3,-5,S6E19,140,1
,,,,,,,,,,,,,,,,,,,,,,,,,-3,-4,0,162,2
,,,,,,,,,,,,,,,,,,,,,,,,,-3,4,S2E14,338,1
,,,,,,,,,,,,,,,,,,,,,,,,,-3,5,0,360,2
,,,,,,,,,,,,,,,,,,,,,,,,,-3,6,0,382,2
,,,,,,,,,,,,,,,,,,,,,,,,,-3,7,0,404,2
,,,,,,,,,,,,,,,,,,,,,,,,,-3,8,0,426,2
,,,,,,,,,,,,,,,,,,,,,,,,,-3,9,0,448,2
,,,,,,,,,,,,,,,,,,,,,,,,,-3,10,0,470,2
,,,,,,,,,,,,,,,,,,,,,,,,,-3,11,-3,492,2
,,,,,,,,,,,,,,,,,,,,,,,,,-2,-11,S6E3,9,2
,,,,,,,,,,,,,,,,,,,,,,,,,-2,-10,0,31,2
,,,,,,,,,,,,,,,,,,,,,,,,,-2,-9,S6E7,53,2
,,,,,,,,,,,,,,,,,,,,,,,,,-2,-8,0,75,2
,,,,,,,,,,,,,,,,,,,,,,,,,-2,-7,S6E11,97,2
,,,,,,,,,,,,,,,,,,,,,,,,,-2,-6,0,119,2
,,,,,,,,,,,,,,,,,,,,,,,,,-2,-5,S6E18,141,2
,,,,,,,,,,,,,,,,,,,,,,,,,-2,5,S2E10,361,2
,,,,,,,,,,,,,,,,,,,,,,,,,-2,6,0,383,2
,,,,,,,,,,,,,,,,,,,,,,,,,-2,7,S2E6,405,2
,,,,,,,,,,,,,,,,,,,,,,,,,-2,8,0,427,2
,,,,,,,,,,,,,,,,,,,,,,,,,-2,9,S2E2,449,2
,,,,,,,,,,,,,,,,,,,,,,,,,-2,10,0,471,2
,,,,,,,,,,,,,,,,,,,,,,,,,-2,11,-2,493,2
,,,,,,,,,,,,,,,,,,,,,,,,,-1,-11,0,10,2
,,,,,,,,,,,,,,,,,,,,,,,,,-1,-10,0,32,2
,,,,,,,,,,,,,,,,,,,,,,,,,-1,-9,0,54,2
,,,,,,,,,,,,,,,,,,,,,,,,,-1,-8,0,76,2
,,,,,,,,,,,,,,,,,,,,,,,,,-1,-7,0,98,2
,,,,,,,,,,,,,,,,,,,,,,,,,-1,-6,0,120,2
,,,,,,,,,,,,,,,,,,,,,,,,,-1,-5,S6E17,142,2
,,,,,,,,,,,,,,,,,,,,,,,,,-1,5,0,362,2
,,,,,,,,,,,,,,,,,,,,,,,,,-1,6,0,384,2
,,,,,,,,,,,,,,,,,,,,,,,,,-1,7,0,406,2
,,,,,,,,,,,,,,,,,,,,,,,,,-1,8,0,428,2
,,,,,,,,,,,,,,,,,,,,,,,,,-1,9,0,450,2
,,,,,,,,,,,,,,,,,,,,,,,,,-1,10,0,472,2
,,,,,,,,,,,,,,,,,,,,,,,,,-1,11,-1,494,2
,,,,,,,,,,,,,,,,,,,,,,,,,1,-11,0,12,2
,,,,,,,,,,,,,,,,,,,,,,,,,1,-10,0,34,2
,,,,,,,,,,,,,,,,,,,,,,,,,1,-9,0,56,2
,,,,,,,,,,,,,,,,,,,,,,,,,1,-8,0,78,2
