S1R1 hallb-gpib02
S1R2 hallb-gpib05
S1R3 hallb-gpib08
S2R1 hallb-gpib03
S2R2 hallb-gpib12
S2R3 hallb-gpib09
S3R1 hallb-gpib19
S3R2 hallb-gpib15
S3R3 hallb-gpib18
S4R1 hallb-gpib11
S4R2 hallb-gpib14
S4R3 hallb-gpib20
S5R1 hallb-gpib10
S5R2 hallb-gpib13
S5R3 hallb-gpib16
S6R1 hallb-gpib01
S6R2 hallb-gpib17
S6R3 hallb-gpib07
