,Variable Name,,,,,,,Hexa Address in PLC,Adress + 500 Hexa,Adress + 500    Decimal,,
,TUNE11,ANA,38,9,0,0.0,3.0,W 3508,3A08,14856,,
,GAIN11,ANA,38,10,0,0.0,999.0,W 3509,3A09,14857,,
,INTEGRAL11,ANA,38,11,0,0.0,999.0,W 350A,3A0A,14858,,
,DERIVE11,ANA,38,12,0,0.0,200.0,W 350B,3A0B,14859,,
,COURANT11,ANA,38,13,0,0.0,3.0,W 350C,3A0C,14860,,
,,,,,,,,,,,,
,Variable LakeShore TT ET,,,,,,,,,,,
,MODE2,ANA,39,1,0,0.0,3.0,W 3510,3A10,14864,,Esclave = 01
,TUNE2,ANA,39,2,0,0.0,3.0,W 3511,3A11,14865,,function code = 03 Read n words
,GAIN2,ANA,39,3,0,0.0,999.0,W 3512,3A12,14866,,Adress first bit = 3A10 Hexa = 14848 Decimal
,INTEGRAL2,ANA,39,4,0,0.0,999.0,W 3513,3A13,14867,,Number of words = 10 Hexa = 16 Decimal
,DERIVE2,ANA,39,5,0,0.0,200.0,W 3514,3A14,14868,,CRC16 = 49 1B
,COURANT2,ANA,39,6,0,0.0,3.0,W 3515,3A15,14869,,01 03 3A 10 00 10 49 1B
,PUIS_TTET1,ANA,39,7,0,0.0,100.0,W 3516,3A16,14870,,
,MODE22,ANA,39,8,0,0.0,3.0,W 3517,3A17,14871,,
,TUNE22,ANA,39,9,0,0.0,3.0,W 3518,3A18,14872,,
,GAIN22,ANA,39,10,0,0.0,999.0,W 3519,3A19,14873,,
,INTEGRAL22,ANA,39,11,0,0.0,999.0,W 351A,3A1A,14874,,
,DERIVE22,ANA,39,12,0,0.0,200.0,W 351B,3A1B,14875,,
,COURANT22,ANA,39,13,0,0.0,3.0,W 351C,3A1C,14876,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Variable Name,,,,,,,Hexa Address in PLC,Adress Bit Hexa,Adress Bit Decimal,,
,Logic Input Card 01,,,,,,,,,,,
,KICP,TOR,16,1,0,1,0,B 100,1880,6272,,Esclave = 01
,CHE_P,TOR,16,1,1,1,0,B 101,1881,6273,,Function code = 01 Read n bits
,FC_CVPS_F,TOR,16,1,2,F,0,B 102,1882,6274,,Adress first bit = 1880 Hexa = 6272 Decimal
,FC_CVPS_O,TOR,16,1,3,O,0,B 103,1883,6275,,Number of bits = 100 Hexa = 256 Decimal
,FC_CVS_F,TOR,16,1,4,F,0,B 104,1884,6276,,CRC16 = 3A D2
,FC_CVS_O,TOR,16,1,5,O,0,B 105,1885,6277,,01 01 18 80 01 00 3A D2
,DETEC_H2D2,TOR,16,1,6,DEFAUT,0,B 106,1886,6278,,
,C11_V07,TOR,16,1,7,1,0,B 107,1887,6279,,
,PUMP_CVP_M,TOR,16,1,8,MARCHE,0,B 110,1888,6280,,
,PUMP_CVS_V,TOR,16,1,9,MARCHE,0,B 111,1889,6281,,
,PUMP_CVS_D,TOR,16,1,10,DEFAUT,-,B 112,188A,6282,,
,FC_20K_F,TOR,16,1,11,F,0,B 113,188B,6283,,
,FC_20K_O,TOR,16,1,12,O,0,B 114,188C,6284,,
,FC_LHE_F,TOR,16,1,13,F,0,B 115,188D,6285,,
,FC_LHE_O,TOR,16,1,14,O,0,B 116,188E,6286,,
,PSL_AIRCPR,TOR,16,1,15,OUI,0,B 117,188F,6287,,
,MV_N2V_F,TOR,16,2,0,F,0,B 120,1890,6288,,
,MV_N2V_O,TOR,16,2,1,O,0,B 121,1891,6289,,
,LS_CTB,TOR,16,2,2,ON,AUTO,B 122,1892,6290,,
,LS_CTH,TOR,16,2,3,ON,AUTO,B 123,1893,6291,,
,LS_ETB,TOR,16,2,4,ON,0,B 124,1894,6292,,
,LS_ETH,TOR,16,2,5,ON,0,B 125,1895,6293,,
,LS_TB,TOR,16,2,6,ON,OFF,B 126,1896,6294,,
,LS_TH,TOR,16,2,7,ON,OFF,B 127,1897,6295,,
,FC_VST_F,TOR,16,2,8,F,-,B 130,1898,6296,,
,FC_VST_O,TOR,16,2,9,O,-,B 131,1899,6297,,
,FC_VS4K_F,TOR,16,2,10,F,-,B 132,189A,6298,,
,FC_VS4K_O,TOR,16,2,11,O,-,B 133,189B,6299,,
,FC_N2P_F,TOR,16,2,12,F,-,B 134,189C,6300,,
,FC_N2P_O,TOR,16,2,13,O,-,B 135,189D,6301,,
,PUMP_2KH_M,TOR,16,2,14,MARCHE,-,B 136,189E,6302,,
,INTERSYNOP,TOR,16,2,15,1,0,B 137,189F,6303,,
,,,,,,,,,,,,
,Logic Input Card 02,,,,,,,,,,,
,PUMP_VST_V,TOR,16,3,0,MARCHE,0,B 140,18A0,6304,,
,PUMP_VST_D,TOR,16,3,1,DEFAUT,-,B 141,18A1,6305,,
,FC_HEBP_F,TOR,16,3,2,F,-,B 142,18A2,6306,,
,FC_HEBP_O,TOR,16,3,3,O,-,B 143,18A3,6307,,
,MV_HES_F,TOR,16,3,4,F,-,B 144,18A4,6308,,
,MV_HES_O,TOR,16,3,5,O,-,B 145,18A5,6309,,
,FC_HER_F,TOR,16,3,6,F,-,B 146,18A6,6310,,
,FC_HER_O,TOR,16,3,7,O,-,B 147,18A7,6311,,
