HallB,Solenoid,Cooldown,,,,,
pv,description,latching,annunciating,delay,count,display title,display details
B_SOL:LHe:PV8563_Permit,DBX Valve Interlock,TRUE,TRUE,5,5,Open Cooldown Interlock GUI,/CLAS12_Share/apps/plcApp/solenoid_cooldown_interlocks.opi
B_SOL:LHe:HTR8620_Permit,Heater Interlock,TRUE,TRUE,5,5,Open Cooldown Interlock GUI,/CLAS12_Share/apps/plcApp/solenoid_cooldown_interlocks.opi
B_SOL:LHe:HTR8672_Permit,Heater Interlock,TRUE,TRUE,5,5,Open Cooldown Interlock GUI,/CLAS12_Share/apps/plcApp/solenoid_cooldown_interlocks.opi
