PV #,Group #,Signal Category,LabVIEW_Signal_Name,Access Type,Data Type,EPICS Process Variable (PV),Units,
1,1,Internal Status Monitoring,RICHCRIO:RICH_EPICS:RICH_EPICS_Air_Pressure_#1,Read Only,Double,B_DET_RICH_INTLK_AIRPR1,atm,
2,2,,RICHCRIO:RICH_EPICS:RICH_EPICS_Airflow_#1,Read Only,Double,B_DET_RICH_INTLK_AIRFLOW1,slm,
3,3,,RICHCRIO:RICH_EPICS:RICH_EPICS_Airflow_#2,Read Only,Double,B_DET_RICH_INTLK_AIRFLOW2,slm,
4,4,,RICHCRIO:RICH_EPICS:RICH_EPICS_N2_Flow_#1,Read Only,Double,B_DET_RICH_INTLK_N2FLOW1,slm,
5,5,,RICHCRIO:RICH_EPICS:RICH_EPICS_N2_Flow_#2,Read Only,Double,B_DET_RICH_INTLK_N2FLOW2,slm,
6,6,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#1,Read Only,Double,B_DET_RICH_INTLK_HUMID1,%,
7,7,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#2,Read Only,Double,B_DET_RICH_INTLK_HUMID2,%,
8,8,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#3,Read Only,Double,B_DET_RICH_INTLK_HUMID3,%,
9,9,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#4,Read Only,Double,B_DET_RICH_INTLK_HUMID4,%,
10,10,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#5,Read Only,Double,B_DET_RICH_INTLK_HUMID5,%,
11,11,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#6,Read Only,Double,B_DET_RICH_INTLK_HUMID6,%,
12,12,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#7,Read Only,Double,B_DET_RICH_INTLK_HUMID7,%,
13,13,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#8,Read Only,Double,B_DET_RICH_INTLK_HUMID8,%,
14,14,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#9,Read Only,Double,B_DET_RICH_INTLK_HUMID9,%,
15,15,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#10,Read Only,Double,B_DET_RICH_INTLK_HUMID10,%,
16,16,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#11,Read Only,Double,B_DET_RICH_INTLK_HUMID11,%,
17,17,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#12,Read Only,Double,B_DET_RICH_INTLK_HUMID12,%,
18,18,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#13,Read Only,Double,B_DET_RICH_INTLK_HUMID13,%,
19,19,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#14,Read Only,Double,B_DET_RICH_INTLK_HUMID14,%,
20,20,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#15,Read Only,Double,B_DET_RICH_INTLK_HUMID15,%,
21,21,,RICHCRIO:RICH_EPICS:RICH_EPICS_Humidity_#16,Read Only,Double,B_DET_RICH_INTLK_HUMID16,%,
22,22,,RICHCRIO:RICH_EPICS:RICH_EPICS_Temperature_#1,Read Only,Double,B_DET_RICH_INTLK_TEMP1,C,
