Hall B RICH Hardware Interlock System EPICS Interface - S1 EP,,,,,,,
PV #,Group #,Signal Category,LabVIEW_Signal_Name,Access Type,Data Type,EPICS Process Variable (PV),Units
48,16,,RICH EPICS S1 EP Humidity 16 Hi Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID16_HI_STAT,N/A
49,17,,RICH EPICS S1 EP Temp 1 Hi Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP1_HI_STAT,N/A
50,18,,RICH EPICS S1 EP Temp 2 Hi Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP2_HI_STAT,N/A
51,19,,RICH EPICS S1 EP Temp 3 Hi Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP3_HI_STAT,N/A
52,20,,RICH EPICS S1 EP Temp 4 Hi Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP4_HI_STAT,N/A
53,21,,RICH EPICS S1 EP Temp 5 Hi Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP5_HI_STAT,N/A
54,22,,RICH EPICS S1 EP Temp 6 Hi Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP6_HI_STAT,N/A
55,23,,RICH EPICS S1 EP Temp 7 Hi Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP7_HI_STAT,N/A
56,24,,RICH EPICS S1 EP Temp 8 Hi Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP8_HI_STAT,N/A
57,25,,RICH EPICS S1 EP Temp 9 Hi Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP9_HI_STAT,N/A
58,26,,RICH EPICS S1 EP Temp 10 Hi Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP10_HI_STAT,N/A
59,27,,RICH EPICS S1 EP Temp 11 Hi Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP11_HI_STAT,N/A
60,28,,RICH EPICS S1 EP Temp 12 Hi Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP12_HI_STAT,N/A
61,29,,RICH EPICS S1 EP Temp 13 Hi Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP13_HI_STAT,N/A
62,30,,RICH EPICS S1 EP Temp 14 Hi Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP14_HI_STAT,N/A
63,31,,RICH EPICS S1 EP Temp 15 Hi Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP15_HI_STAT,N/A
64,32,,RICH EPICS S1 EP Temp 16 Hi Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP16_HI_STAT,N/A
65,33,,RICH EPICS S1 EP Humidity 1 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID1_LO_STAT,N/A
66,34,,RICH EPICS S1 EP Humidity 2 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID2_LO_STAT,N/A
67,35,,RICH EPICS S1 EP Humidity 3 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID3_LO_STAT,N/A
68,36,,RICH EPICS S1 EP Humidity 4 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID4_LO_STAT,N/A
69,37,,RICH EPICS S1 EP Humidity 5 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID5_LO_STAT,N/A
70,38,,RICH EPICS S1 EP Humidity 6 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID6_LO_STAT,N/A
71,39,,RICH EPICS S1 EP Humidity 7 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID7_LO_STAT,N/A
72,40,,RICH EPICS S1 EP Humidity 8 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID8_LO_STAT,N/A
73,41,,RICH EPICS S1 EP Humidity 9 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID9_LO_STAT,N/A
74,42,,RICH EPICS S1 EP Humidity 10 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID10_LO_STAT,N/A
75,43,,RICH EPICS S1 EP Humidity 11 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID11_LO_STAT,N/A
76,44,,RICH EPICS S1 EP Humidity 12 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID12_LO_STAT,N/A
77,45,,RICH EPICS S1 EP Humidity 13 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID13_LO_STAT,N/A
78,46,,RICH EPICS S1 EP Humidity 14 Lo Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID14_LO_STAT,N/A
