Hall B RICH Hardware Interlock System EPICS Interface - S1 EP,,,,,,,
PV #,Group #,Signal Category,LabVIEW_Signal_Name,Access Type,Data Type,EPICS Process Variable (PV),Units
175,9,,RICH EPICS S1 EP Humidity 9 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID9_ENABLE,N/A
176,10,,RICH EPICS S1 EP Humidity 10 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID10_ENABLE,N/A
177,11,,RICH EPICS S1 EP Humidity 11 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID11_ENABLE,N/A
178,12,,RICH EPICS S1 EP Humidity 12 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID12_ENABLE,N/A
179,13,,RICH EPICS S1 EP Humidity 13 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID13_ENABLE,N/A
180,14,,RICH EPICS S1 EP Humidity 14 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID14_ENABLE,N/A
181,15,,RICH EPICS S1 EP Humidity 15 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID15_ENABLE,N/A
182,16,,RICH EPICS S1 EP Humidity 16 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_HUMID16_ENABLE,N/A
183,17,,RICH EPICS S1 EP Temp 1 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP1_ENABLE,N/A
184,18,,RICH EPICS S1 EP Temp 2 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP2_ENABLE,N/A
185,19,,RICH EPICS S1 EP Temp 3 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP3_ENABLE,N/A
186,20,,RICH EPICS S1 EP Temp 4 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP4_ENABLE,N/A
187,21,,RICH EPICS S1 EP Temp 5 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP5_ENABLE,N/A
188,22,,RICH EPICS S1 EP Temp 6 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP6_ENABLE,N/A
189,23,,RICH EPICS S1 EP Temp 7 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP7_ENABLE,N/A
190,24,,RICH EPICS S1 EP Temp 8 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP8_ENABLE,N/A
191,25,,RICH EPICS S1 EP Temp 9 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP9_ENABLE,N/A
192,26,,RICH EPICS S1 EP Temp 10 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP10_ENABLE,N/A
193,27,,RICH EPICS S1 EP Temp 11 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP11_ENABLE,N/A
194,28,,RICH EPICS S1 EP Temp 12 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP12_ENABLE,N/A
195,29,,RICH EPICS S1 EP Temp 13 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP13_ENABLE,N/A
196,30,,RICH EPICS S1 EP Temp 14 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP14_ENABLE,N/A
197,31,,RICH EPICS S1 EP Temp 15 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP15_ENABLE,N/A
198,32,,RICH EPICS S1 EP Temp 16 Sensor Enable,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_TEMP16_ENABLE,N/A
199,1,Individual Sensor Threshold Control,RICH EPICS S1 EP Humidity 1 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID1_HI,%
200,2,,RICH EPICS S1 EP Humidity 2 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID2_HI,%
201,3,,RICH EPICS S1 EP Humidity 3 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID3_HI,%
202,4,,RICH EPICS S1 EP Humidity 4 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID4_HI,%
203,5,,RICH EPICS S1 EP Humidity 5 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID5_HI,%
204,6,,RICH EPICS S1 EP Humidity 6 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID6_HI,%
205,7,,RICH EPICS S1 EP Humidity 7 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID7_HI,%
206,8,,RICH EPICS S1 EP Humidity 8 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID8_HI,%
207,9,,RICH EPICS S1 EP Humidity 9 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID9_HI,%
208,10,,RICH EPICS S1 EP Humidity 10 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID10_HI,%
209,11,,RICH EPICS S1 EP Humidity 11 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID11_HI,%
210,12,,RICH EPICS S1 EP Humidity 12 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID12_HI,%
211,13,,RICH EPICS S1 EP Humidity 13 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID13_HI,%
212,14,,RICH EPICS S1 EP Humidity 14 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID14_HI,%
213,15,,RICH EPICS S1 EP Humidity 15 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID15_HI,%
214,16,,RICH EPICS S1 EP Humidity 16 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID16_HI,%
215,17,,RICH EPICS S1 EP Temp 1 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP1_HI,°C
216,18,,RICH EPICS S1 EP Temp 2 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP2_HI,°C
217,19,,RICH EPICS S1 EP Temp 3 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP3_HI,°C
218,20,,RICH EPICS S1 EP Temp 4 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP4_HI,°C
219,21,,RICH EPICS S1 EP Temp 5 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP5_HI,°C
220,22,,RICH EPICS S1 EP Temp 6 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP6_HI,°C
221,23,,RICH EPICS S1 EP Temp 7 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP7_HI,°C
222,24,,RICH EPICS S1 EP Temp 8 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP8_HI,°C
223,25,,RICH EPICS S1 EP Temp 9 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP9_HI,°C
224,26,,RICH EPICS S1 EP Temp 10 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP10_HI,°C
225,27,,RICH EPICS S1 EP Temp 11 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP11_HI,°C
226,28,,RICH EPICS S1 EP Temp 12 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP12_HI,°C
227,29,,RICH EPICS S1 EP Temp 13 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP13_HI,°C
228,30,,RICH EPICS S1 EP Temp 14 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP14_HI,°C
229,31,,RICH EPICS S1 EP Temp 15 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP15_HI,°C
230,32,,RICH EPICS S1 EP Temp 16 Hi Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP16_HI,°C
231,33,,RICH EPICS S1 EP Humidity 1 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID1_LO,%
232,34,,RICH EPICS S1 EP Humidity 2 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID2_LO,%
233,35,,RICH EPICS S1 EP Humidity 3 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID3_LO,%
234,36,,RICH EPICS S1 EP Humidity 4 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID4_LO,%
235,37,,RICH EPICS S1 EP Humidity 5 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID5_LO,%
236,38,,RICH EPICS S1 EP Humidity 6 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID6_LO,%
237,39,,RICH EPICS S1 EP Humidity 7 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID7_LO,%
238,40,,RICH EPICS S1 EP Humidity 8 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID8_LO,%
239,41,,RICH EPICS S1 EP Humidity 9 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID9_LO,%
240,42,,RICH EPICS S1 EP Humidity 10 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID10_LO,%
241,43,,RICH EPICS S1 EP Humidity 11 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID11_LO,%
242,44,,RICH EPICS S1 EP Humidity 12 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID12_LO,%
243,45,,RICH EPICS S1 EP Humidity 13 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID13_LO,%
244,46,,RICH EPICS S1 EP Humidity 14 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID14_LO,%
245,47,,RICH EPICS S1 EP Humidity 15 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID15_LO,%
246,48,,RICH EPICS S1 EP Humidity 16 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_HUMID16_LO,%
247,49,,RICH EPICS S1 EP Temp 1 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP1_LO,°C
248,50,,RICH EPICS S1 EP Temp 2 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP2_LO,°C
249,51,,RICH EPICS S1 EP Temp 3 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP3_LO,°C
250,52,,RICH EPICS S1 EP Temp 4 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP4_LO,°C
251,53,,RICH EPICS S1 EP Temp 5 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP5_LO,°C
252,54,,RICH EPICS S1 EP Temp 6 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP6_LO,°C
253,55,,RICH EPICS S1 EP Temp 7 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP7_LO,°C
254,56,,RICH EPICS S1 EP Temp 8 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP8_LO,°C
255,57,,RICH EPICS S1 EP Temp 9 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP9_LO,°C
256,58,,RICH EPICS S1 EP Temp 10 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP10_LO,°C
257,59,,RICH EPICS S1 EP Temp 11 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP11_LO,°C
258,60,,RICH EPICS S1 EP Temp 12 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP12_LO,°C
259,61,,RICH EPICS S1 EP Temp 13 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP13_LO,°C
260,62,,RICH EPICS S1 EP Temp 14 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP14_LO,°C
261,63,,RICH EPICS S1 EP Temp 15 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP15_LO,°C
262,64,,RICH EPICS S1 EP Temp 16 Lo Limit,Read/Write,Double,B_DET_RICH_INTLK_S1_EP_TEMP16_LO,°C
263,1,Limit Control Status,RICH EPICS S1 EP S1 EP Limit Control,Read/Write,Boolean,B_DET_RICH_INTLK_S1_EP_EPICS_LIMIT_CTRL,N/A
264,1,Hardware Interlock Status,RICH EPICS S1 EP LV Enable Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_LV_ENABLE_STAT,N/A
265,2,,RICH EPICS S1 EP HV Enable Status,Read Only,Boolean,B_DET_RICH_INTLK_S1_EP_HV_ENABLE_STAT,N/A
266,1,Interlock System Status,RICH EPICS S1 EP cRIO CPU,Read Only,Double,B_HW_CRIO_RICH_S1_EP_CPULOAD,%
267,2,,RICH EPICS S1 EP cRIO Heartbeat,Read Only,Boolean,B_HW_CRIO_RICH_S1_EP_HEARTBEAT,N/A
268,3,,RICH EPICS S1 EP System Uptime,Read Only,Double,B_HW_CRIO_RICH_S1_EP_UPTIME,hours
