Region  setting # Total Sense Field   Guard
1 1 900 600 300 214
1  2 1200  800 400 286
1  3 1500  1000  500 357
1  4 1650  1100  550 393
1  5 1800  1200  600 429
1  6 1875  1250  625 446
1  7 1950  1300  650 464
1  8 2025  1350  675 482
1  9 2100  1400  700 500
1  10  2175  1450  725 518
1  11  2250  1500  750 536
1  12  2325  1550  775 554
1  13  2400  1600  800 571
1  14  2475  1650  825 589
2 1 1000 700 350 250
2  2 1400  900 450 321
2  3 1800  1100 550 393
2  4 2000  1200 600 429
2  5 2200  1300 650 464
2  6 2300  1350 675 482
2  7 2400  1400 700 500
2  8 2450  1450 725 518
2  9 2500  1500 750  536
2  10  2550  1550 775 554
2  11  2600  1600 800 571
2  12  2650  1650 825 589
2  13  2700  1700 850 607
2  14  2750  1750 875 625
3 1 1200  800 400 286
3  2 1600 1000 500 357
3  3 2000 1200 600 429
3  4 2200 1300 650 464
3  5 2400 1400 700 500
3  6 2500 1450 725 518
3  7 2600 1500 750 536
3  8 2650 1550 775 554
3  9 2700 1600 800 571
3  10  2750 1650 825 589
3  11  2800 1700 850 607
3  12  2850 1750 875 625
3  13  2900 1800 900 643
3  14  2950 1850 925 661
