-------------------------------
   HALLB RICH1 CAEN SYS4527
-------------------------------
CRATE  	SLOT  CHANNEL   NAME
-------------------------------
RICH1     0      0    LVGRP_01
RICH1     0      1    LVGRP_02
RICH1     0      2    LVGRP_03
RICH1     0      3    LVGRP_04
RICH1     0      4    LVGRP_05
RICH1     0      5    LVGRP_06
RICH1     0      6    LVGRP_07
RICH1     0      7    LVGRP_08
RICH1     1      0    LVGRP_09
RICH1     1      1    LVGRP_10
RICH1     1      2    LVGRP_11
RICH1     1      3    LVGRP_12
RICH1     1      4    LVGRP_13
RICH1     1      5    LVGRP_14
RICH1     1      6    LVGRP_15
RICH1     1      7    LVGRP_16
RICH1     2      0    LVGRP_17
RICH1     2      1    LVGRP_18
RICH1     2      2    LVGRP_19
RICH1     2      3    LVGRP_20
RICH1     2      4    LVGRP_21
RICH1     2      5    LVGRP_22
RICH1     2      6    LVGRP_23
RICH1     2      7    LVGRP_24
RICH1     3      0    LVGRP_25
RICH1     3      1    LVGRP_26
RICH1     3      2    LVGRP_27
RICH1     3      3    LVGRP_28
RICH1     3      4    LVGRP_29
RICH1     3      5    LVGRP_30
RICH1     3      6    LVGRP_31
RICH1     3      7    LVGRP_32
RICH1     4      0    LVGRP_33
RICH1     4      1    LVGRP_34
RICH1     4      2    LVGRP_35
RICH1     4      3    LVGRP_36
RICH1     4      4    LVGRP_37
RICH1     4      5    LVGRP_38
RICH1     4      6    LVGRP_39
RICH1     4      7    LVGRP_40
