HallB, Beamline, HV,,,,,,,,
pv, description, latching, annunciating,delay,count,display title,display details
B_DET_BLINE_HV_SLM,              Beamline SLM HV,               true, true, 0, 0, Open Beamline HV Gui,/CLAS12_Share/beamline/beamline_hv_novice.opi
B_DET_BLINE_HV_UpstreamLeft,     Beamline Upstream Left HV,     true, true, 0, 0, Open Beamline HV Gui,/CLAS12_Share/beamline/beamline_hv_novice.opi
B_DET_BLINE_HV_UpstreamRight,    Beamline Upstream Right HV,    true, true, 0, 0, Open Beamline HV Gui,/CLAS12_Share/beamline/beamline_hv_novice.opi
B_DET_BLINE_HV_MollerLeft,       Beamline Moller Left HV,       true, true, 0, 0, Open Beamline HV Gui,/CLAS12_Share/beamline/beamline_hv_novice.opi
B_DET_BLINE_HV_MollerRight,      Beamline Moller Right HV,      true, true, 0, 0, Open Beamline HV Gui,/CLAS12_Share/beamline/beamline_hv_novice.opi
B_DET_BLINE_HV_TaggerLeft,       Beamline Tagger Left HV,       true, true, 0, 0, Open Beamline HV Gui,/CLAS12_Share/beamline/beamline_hv_novice.opi
B_DET_BLINE_HV_TaggerRight,      Beamline Tagger Right HV,      true, true, 0, 0, Open Beamline HV Gui,/CLAS12_Share/beamline/beamline_hv_novice.opi
B_DET_BLINE_HV_TaggerTop,        Beamline Tagger Top HV,        true, true, 0, 0, Open Beamline HV Gui,/CLAS12_Share/beamline/beamline_hv_novice.opi
B_DET_BLINE_HV_MidstreamLeft,    Beamline Midstream Left HV,    true, true, 0, 0, Open Beamline HV Gui,/CLAS12_Share/beamline/beamline_hv_novice.opi
B_DET_BLINE_HV_MidstreamRight,   Beamline Midstream Right HV,   true, true, 0, 0, Open Beamline HV Gui,/CLAS12_Share/beamline/beamline_hv_novice.opi
B_DET_BLINE_HV_MidstreamTop,     Beamline Midstream Top HV,     true, true, 0, 0, Open Beamline HV Gui,/CLAS12_Share/beamline/beamline_hv_novice.opi
B_DET_BLINE_HV_MidstreamBottom,  Beamline Midstream Bottom HV,  true, true, 0, 0, Open Beamline HV Gui,/CLAS12_Share/beamline/beamline_hv_novice.opi
B_DET_BLINE_HV_DownstreamLeft,   Beamline Downstream Left HV,   true, true, 0, 0, Open Beamline HV Gui,/CLAS12_Share/beamline/beamline_hv_novice.opi
B_DET_BLINE_HV_DownstreamRight,  Beamline Downstream Right HV,  true, true, 0, 0, Open Beamline HV Gui,/CLAS12_Share/beamline/beamline_hv_novice.opi
B_DET_BLINE_HV_DownstreamTop,    Beamline Downstream Top HV,    true, true, 0, 0, Open Beamline HV Gui,/CLAS12_Share/beamline/beamline_hv_novice.opi
B_DET_BLINE_HV_DownstreamBottom, Beamline Downstream Bottom HV, true, true, 0, 0, Open Beamline HV Gui,/CLAS12_Share/beamline/beamline_hv_novice.opi
