#, 1st Col , Must be S or #,, ,,,,(S=UsedSlot #=comment)
#, Crate No,   Crate Name  ,Crate Type, Slot,Chan,Sys,Detector,Element
#,"Discriminator full setup, Disc in Slots 2-5, 7-10, 12-15, 17-20, Note: TDCs in slot 6 and 16",,,,,,,
#,L1 Group,,,,,,,
S,67,TDCBAND1,VME,8,14,DISC,BAND,513A_R
S,67,TDCBAND1,VME,8,15,DISC,BAND,V06
#,L7 Group,,,,,,,
S,67,TDCBAND1,VME,9,0,DISC,BAND,114A_R
S,67,TDCBAND1,VME,9,1,DISC,BAND,214A_R
S,67,TDCBAND1,VME,9,2,DISC,BAND,314A_R
S,67,TDCBAND1,VME,9,3,DISC,BAND,414A_R
S,67,TDCBAND1,VME,9,4,DISC,BAND,514A_R
S,67,TDCBAND1,VME,9,5,DISC,BAND,115A_R
S,67,TDCBAND1,VME,9,6,DISC,BAND,215A_R
S,67,TDCBAND1,VME,9,7,DISC,BAND,315A_R
S,67,TDCBAND1,VME,9,8,DISC,BAND,415A_R
S,67,TDCBAND1,VME,9,9,DISC,BAND,515A_R
S,67,TDCBAND1,VME,9,10,DISC,BAND,116A_R
S,67,TDCBAND1,VME,9,11,DISC,BAND,216A_R
S,67,TDCBAND1,VME,9,12,DISC,BAND,316A_R
S,67,TDCBAND1,VME,9,13,DISC,BAND,416A_R
S,67,TDCBAND1,VME,9,14,DISC,BAND,V07
S,67,TDCBAND1,VME,9,15,DISC,BAND,V08
#,L8 Group,,,,,,,
S,67,TDCBAND1,VME,10,0,DISC,BAND,116A_L
S,67,TDCBAND1,VME,10,1,DISC,BAND,216A_L
S,67,TDCBAND1,VME,10,2,DISC,BAND,316A_L
S,67,TDCBAND1,VME,10,3,DISC,BAND,416A_L
S,67,TDCBAND1,VME,10,4,DISC,BAND,117_L
S,67,TDCBAND1,VME,10,5,DISC,BAND,217_L
S,67,TDCBAND1,VME,10,6,DISC,BAND,317_L
S,67,TDCBAND1,VME,10,7,DISC,BAND,417_L
S,67,TDCBAND1,VME,10,8,DISC,BAND,118_L
S,67,TDCBAND1,VME,10,9,DISC,BAND,218_L
S,67,TDCBAND1,VME,10,10,DISC,BAND,318_L
S,67,TDCBAND1,VME,10,11,DISC,BAND,418_L
S,67,TDCBAND1,VME,10,12,DISC,BAND,V09
S,67,TDCBAND1,VME,10,13,DISC,BAND,V10
S,67,TDCBAND1,VME,10,14,DISC,BAND,V11A
S,67,TDCBAND1,VME,10,15,DISC,BAND,V12A
#,R1 Group,,,,,,,
S,67,TDCBAND1,VME,12,0,DISC,BAND,101_R
S,67,TDCBAND1,VME,12,1,DISC,BAND,201_R
S,67,TDCBAND1,VME,12,2,DISC,BAND,301_R
S,67,TDCBAND1,VME,12,3,DISC,BAND,401_R
S,67,TDCBAND1,VME,12,4,DISC,BAND,501_R
S,67,TDCBAND1,VME,12,5,DISC,BAND,102_R
S,67,TDCBAND1,VME,12,6,DISC,BAND,202_R
S,67,TDCBAND1,VME,12,7,DISC,BAND,302_R
S,67,TDCBAND1,VME,12,8,DISC,BAND,402_R
S,67,TDCBAND1,VME,12,9,DISC,BAND,502_R
S,67,TDCBAND1,VME,12,10,DISC,BAND,103_R
S,67,TDCBAND1,VME,12,11,DISC,BAND,203_R
S,67,TDCBAND1,VME,12,12,DISC,BAND,303_R
S,67,TDCBAND1,VME,12,13,DISC,BAND,403_R
S,67,TDCBAND1,VME,12,14,DISC,BAND,503_R
S,67,TDCBAND1,VME,12,15,DISC,BAND,V11B
#,R2 Group,,,,,,,
S,67,TDCBAND1,VME,13,0,DISC,BAND,104_R
S,67,TDCBAND1,VME,13,1,DISC,BAND,204_R
S,67,TDCBAND1,VME,13,2,DISC,BAND,304_R
S,67,TDCBAND1,VME,13,3,DISC,BAND,404_R
S,67,TDCBAND1,VME,13,4,DISC,BAND,504_R
S,67,TDCBAND1,VME,13,5,DISC,BAND,105_R
S,67,TDCBAND1,VME,13,6,DISC,BAND,205_R
S,67,TDCBAND1,VME,13,7,DISC,BAND,305_R
S,67,TDCBAND1,VME,13,8,DISC,BAND,405_R
S,67,TDCBAND1,VME,13,9,DISC,BAND,505_R
S,67,TDCBAND1,VME,13,10,DISC,BAND,106_R
S,67,TDCBAND1,VME,13,11,DISC,BAND,206_R
S,67,TDCBAND1,VME,13,12,DISC,BAND,306_R
S,67,TDCBAND1,VME,13,13,DISC,BAND,406_R
S,67,TDCBAND1,VME,13,14,DISC,BAND,506_R
S,67,TDCBAND1,VME,13,15,DISC,BAND,V12B
#,R3 Group,,,,,,,
S,67,TDCBAND1,VME,14,0,DISC,BAND,107_R
S,67,TDCBAND1,VME,14,1,DISC,BAND,207_R
S,67,TDCBAND1,VME,14,2,DISC,BAND,307_R
S,67,TDCBAND1,VME,14,3,DISC,BAND,407_R
S,67,TDCBAND1,VME,14,4,DISC,BAND,507_R
S,67,TDCBAND1,VME,14,5,DISC,BAND,108_R
S,67,TDCBAND1,VME,14,6,DISC,BAND,208_R
S,67,TDCBAND1,VME,14,7,DISC,BAND,308_R
S,67,TDCBAND1,VME,14,8,DISC,BAND,408_R
S,67,TDCBAND1,VME,14,9,DISC,BAND,508_R
S,67,TDCBAND1,VME,14,10,DISC,BAND,109_R
S,67,TDCBAND1,VME,14,11,DISC,BAND,209_R
S,67,TDCBAND1,VME,14,12,DISC,BAND,309_R
S,67,TDCBAND1,VME,14,13,DISC,BAND,409_R
S,67,TDCBAND1,VME,14,14,DISC,BAND,509_R
S,67,TDCBAND1,VME,14,15,DISC,BAND,V13B
#,R4 Group,,,,,,,
S,67,TDCBAND1,VME,15,0,DISC,BAND,110_R
S,67,TDCBAND1,VME,15,1,DISC,BAND,210_R
S,67,TDCBAND1,VME,15,2,DISC,BAND,310_R
S,67,TDCBAND1,VME,15,3,DISC,BAND,410_R
S,67,TDCBAND1,VME,15,4,DISC,BAND,510_R
S,67,TDCBAND1,VME,15,5,DISC,BAND,111B_R
S,67,TDCBAND1,VME,15,6,DISC,BAND,211B_R
S,67,TDCBAND1,VME,15,7,DISC,BAND,311B_R
S,67,TDCBAND1,VME,15,8,DISC,BAND,411B_R
S,67,TDCBAND1,VME,15,9,DISC,BAND,511B_R
S,67,TDCBAND1,VME,15,10,DISC,BAND,112B_R
S,67,TDCBAND1,VME,15,11,DISC,BAND,212B_R
S,67,TDCBAND1,VME,15,12,DISC,BAND,312B_R
S,67,TDCBAND1,VME,15,13,DISC,BAND,412B_R
S,67,TDCBAND1,VME,15,14,DISC,BAND,512B_R
S,67,TDCBAND1,VME,15,15,DISC,BAND,V14B
#,R5 Group,,,,,,,
S,67,TDCBAND1,VME,17,0,DISC,BAND,113B_R
S,67,TDCBAND1,VME,17,1,DISC,BAND,213B_R
S,67,TDCBAND1,VME,17,2,DISC,BAND,313B_R
S,67,TDCBAND1,VME,17,3,DISC,BAND,413B_R
S,67,TDCBAND1,VME,17,4,DISC,BAND,513B_R
S,67,TDCBAND1,VME,17,5,DISC,BAND,114B_R
S,67,TDCBAND1,VME,17,6,DISC,BAND,214B_R
S,67,TDCBAND1,VME,17,7,DISC,BAND,314B_R
S,67,TDCBAND1,VME,17,8,DISC,BAND,414B_R
S,67,TDCBAND1,VME,17,9,DISC,BAND,514B_R
S,67,TDCBAND1,VME,17,10,DISC,BAND,115B_R
S,67,TDCBAND1,VME,17,11,DISC,BAND,215B_R
S,67,TDCBAND1,VME,17,12,DISC,BAND,315B_R
S,67,TDCBAND1,VME,17,13,DISC,BAND,415B_R
S,67,TDCBAND1,VME,17,14,DISC,BAND,515B_R
S,67,TDCBAND1,VME,17,15,DISC,BAND,V15B
#,R6 Group,,,,,,,
S,67,TDCBAND1,VME,18,0,DISC,BAND,111B_L
S,67,TDCBAND1,VME,18,1,DISC,BAND,211B_L
S,67,TDCBAND1,VME,18,2,DISC,BAND,311B_L
S,67,TDCBAND1,VME,18,3,DISC,BAND,411B_L
S,67,TDCBAND1,VME,18,4,DISC,BAND,511B_L
S,67,TDCBAND1,VME,18,5,DISC,BAND,112B_L
S,67,TDCBAND1,VME,18,6,DISC,BAND,212B_L
S,67,TDCBAND1,VME,18,7,DISC,BAND,312B_L
S,67,TDCBAND1,VME,18,8,DISC,BAND,412B_L
S,67,TDCBAND1,VME,18,9,DISC,BAND,512B_L
