#, 1st Col , Must be S or #,, ,,,,(S=UsedSlot #=comment)
#, Crate No,   Crate Name  ,Crate Type, Slot,Chan,Sys,Detector,Element
#,"FADC Map for all channels , FADC starts in slot 3",,,,,,,
#,L1 Group,,,,,,,
S,66,ADCBAND1,VXS,5,15,ADC,BAND,V03
#,L4 Group,,,,,,,
S,66,ADCBAND1,VXS,6,0,ADC,BAND,110_L
S,66,ADCBAND1,VXS,6,1,ADC,BAND,210_L
S,66,ADCBAND1,VXS,6,2,ADC,BAND,310_L
S,66,ADCBAND1,VXS,6,3,ADC,BAND,410_L
S,66,ADCBAND1,VXS,6,4,ADC,BAND,510_L
S,66,ADCBAND1,VXS,6,5,ADC,BAND,111A_L
S,66,ADCBAND1,VXS,6,6,ADC,BAND,211A_L
S,66,ADCBAND1,VXS,6,7,ADC,BAND,311A_L
S,66,ADCBAND1,VXS,6,8,ADC,BAND,411A_L
S,66,ADCBAND1,VXS,6,9,ADC,BAND,511A_L
S,66,ADCBAND1,VXS,6,10,ADC,BAND,112A_L
S,66,ADCBAND1,VXS,6,11,ADC,BAND,212A_L
S,66,ADCBAND1,VXS,6,12,ADC,BAND,312A_L
S,66,ADCBAND1,VXS,6,13,ADC,BAND,412A_L
S,66,ADCBAND1,VXS,6,14,ADC,BAND,512A_L
S,66,ADCBAND1,VXS,6,15,ADC,BAND,V04
#,L5 Group,,,,,,,
S,66,ADCBAND1,VXS,7,0,ADC,BAND,113A_L
S,66,ADCBAND1,VXS,7,1,ADC,BAND,213A_L
S,66,ADCBAND1,VXS,7,2,ADC,BAND,313A_L
S,66,ADCBAND1,VXS,7,3,ADC,BAND,413A_L
S,66,ADCBAND1,VXS,7,4,ADC,BAND,513A_L
S,66,ADCBAND1,VXS,7,5,ADC,BAND,114A_L
S,66,ADCBAND1,VXS,7,6,ADC,BAND,214A_L
S,66,ADCBAND1,VXS,7,7,ADC,BAND,314A_L
S,66,ADCBAND1,VXS,7,8,ADC,BAND,414A_L
S,66,ADCBAND1,VXS,7,9,ADC,BAND,514A_L
S,66,ADCBAND1,VXS,7,10,ADC,BAND,115A_L
S,66,ADCBAND1,VXS,7,11,ADC,BAND,215A_L
S,66,ADCBAND1,VXS,7,12,ADC,BAND,315A_L
S,66,ADCBAND1,VXS,7,13,ADC,BAND,415A_L
S,66,ADCBAND1,VXS,7,14,ADC,BAND,515A_L
S,66,ADCBAND1,VXS,7,15,ADC,BAND,V05
#,L6 Group,,,,,,,
S,66,ADCBAND1,VXS,8,0,ADC,BAND,111A_R
S,66,ADCBAND1,VXS,8,1,ADC,BAND,211A_R
