#, 1st Col , Must be S or #,, ,,,,(S=UsedSlot #=comment)
#, Crate No,   Crate Name  ,Crate Type, Slot,Chan,Sys,Detector,Element
#,"FADC , for slots I am assuming that the TI is in the middle in slot 8 ",,,,,,,
#,L1 Group,,,,,,,
S,1,ADCBAND,FADC250,0,0,ADC,BAND,101_L
S,1,ADCBAND,FADC250,0,1,ADC,BAND,201_L
S,1,ADCBAND,FADC250,0,2,ADC,BAND,301_L
S,1,ADCBAND,FADC250,0,3,ADC,BAND,401_L
S,1,ADCBAND,FADC250,0,4,ADC,BAND,501_L
S,1,ADCBAND,FADC250,0,5,ADC,BAND,102_L
S,1,ADCBAND,FADC250,0,6,ADC,BAND,202_L
S,1,ADCBAND,FADC250,0,7,ADC,BAND,302_L
S,1,ADCBAND,FADC250,0,8,ADC,BAND,402_L
S,1,ADCBAND,FADC250,0,9,ADC,BAND,502_L
S,1,ADCBAND,FADC250,0,10,ADC,BAND,103_L
S,1,ADCBAND,FADC250,0,11,ADC,BAND,203_L
S,1,ADCBAND,FADC250,0,12,ADC,BAND,303_L
S,1,ADCBAND,FADC250,0,13,ADC,BAND,403_L
S,1,ADCBAND,FADC250,0,14,ADC,BAND,503_L
S,1,ADCBAND,FADC250,0,15,ADC,BAND,V01
#,L2 Group,,,,,,,
S,1,ADCBAND,FADC250,1,0,ADC,BAND,104_L
S,1,ADCBAND,FADC250,1,1,ADC,BAND,204_L
S,1,ADCBAND,FADC250,1,2,ADC,BAND,304_L
S,1,ADCBAND,FADC250,1,3,ADC,BAND,404_L
S,1,ADCBAND,FADC250,1,4,ADC,BAND,504_L
S,1,ADCBAND,FADC250,1,5,ADC,BAND,105_L
S,1,ADCBAND,FADC250,1,6,ADC,BAND,205_L
S,1,ADCBAND,FADC250,1,7,ADC,BAND,305_L
S,1,ADCBAND,FADC250,1,8,ADC,BAND,405_L
S,1,ADCBAND,FADC250,1,9,ADC,BAND,505_L
S,1,ADCBAND,FADC250,1,10,ADC,BAND,106_L
S,1,ADCBAND,FADC250,1,11,ADC,BAND,206_L
S,1,ADCBAND,FADC250,1,12,ADC,BAND,306_L
S,1,ADCBAND,FADC250,1,13,ADC,BAND,406_L
S,1,ADCBAND,FADC250,1,14,ADC,BAND,506_L
S,1,ADCBAND,FADC250,1,15,ADC,BAND,V02
#,L3 Group,,,,,,,
S,1,ADCBAND,FADC250,2,0,ADC,BAND,107_L
S,1,ADCBAND,FADC250,2,1,ADC,BAND,207_L
S,1,ADCBAND,FADC250,2,2,ADC,BAND,307_L
S,1,ADCBAND,FADC250,2,3,ADC,BAND,407_L
S,1,ADCBAND,FADC250,2,4,ADC,BAND,507_L
S,1,ADCBAND,FADC250,2,5,ADC,BAND,108_L
S,1,ADCBAND,FADC250,2,6,ADC,BAND,208_L
S,1,ADCBAND,FADC250,2,7,ADC,BAND,308_L
S,1,ADCBAND,FADC250,2,8,ADC,BAND,408_L
S,1,ADCBAND,FADC250,2,9,ADC,BAND,508_L
S,1,ADCBAND,FADC250,2,10,ADC,BAND,109_L
S,1,ADCBAND,FADC250,2,11,ADC,BAND,209_L
S,1,ADCBAND,FADC250,2,12,ADC,BAND,309_L
S,1,ADCBAND,FADC250,2,13,ADC,BAND,409_L
S,1,ADCBAND,FADC250,2,14,ADC,BAND,509_L
S,1,ADCBAND,FADC250,2,15,ADC,BAND,V03
#,L4 Group,,,,,,,
S,1,ADCBAND,FADC250,3,0,ADC,BAND,110_L
S,1,ADCBAND,FADC250,3,1,ADC,BAND,210_L
S,1,ADCBAND,FADC250,3,2,ADC,BAND,310_L
S,1,ADCBAND,FADC250,3,3,ADC,BAND,410_L
S,1,ADCBAND,FADC250,3,4,ADC,BAND,510_L
S,1,ADCBAND,FADC250,3,5,ADC,BAND,111A_L
S,1,ADCBAND,FADC250,3,6,ADC,BAND,211A_L
S,1,ADCBAND,FADC250,3,7,ADC,BAND,311A_L
S,1,ADCBAND,FADC250,3,8,ADC,BAND,411A_L
S,1,ADCBAND,FADC250,3,9,ADC,BAND,511A_L
S,1,ADCBAND,FADC250,3,10,ADC,BAND,112A_L
S,1,ADCBAND,FADC250,3,11,ADC,BAND,212A_L
S,1,ADCBAND,FADC250,3,12,ADC,BAND,312A_L
S,1,ADCBAND,FADC250,3,13,ADC,BAND,412A_L
S,1,ADCBAND,FADC250,3,14,ADC,BAND,512A_L
S,1,ADCBAND,FADC250,3,15,ADC,BAND,V04
#,L5 Group,,,,,,,
S,1,ADCBAND,FADC250,4,0,ADC,BAND,113A_L
S,1,ADCBAND,FADC250,4,1,ADC,BAND,213A_L
