#, 1st Col , Must be S or #,, ,,,,(S=UsedSlot #=comment)
#, Crate No,   Crate Name  ,Crate Type, Slot,Chan,Sys,Detector,Element
#,"FADC FALL SETUP, Fadcs from 3 to 10, Distribution Card in 9",,,,,,,
#,L4 Group,,,,,,,
S,1,ADCBAND1,FADC250,10,0,ADC,BAND,110_L
S,1,ADCBAND1,FADC250,10,1,ADC,BAND,210_L
S,1,ADCBAND1,FADC250,10,2,ADC,BAND,310_L
S,1,ADCBAND1,FADC250,10,3,ADC,BAND,410_L
S,1,ADCBAND1,FADC250,10,4,ADC,BAND,510_L
S,1,ADCBAND1,FADC250,10,5,ADC,BAND,111A_L
S,1,ADCBAND1,FADC250,10,6,ADC,BAND,211A_L
S,1,ADCBAND1,FADC250,10,7,ADC,BAND,311A_L
S,1,ADCBAND1,FADC250,10,8,ADC,BAND,411A_L
S,1,ADCBAND1,FADC250,10,9,ADC,BAND,511A_L
S,1,ADCBAND1,FADC250,10,10,ADC,BAND,112A_L
S,1,ADCBAND1,FADC250,10,11,ADC,BAND,212A_L
S,1,ADCBAND1,FADC250,10,12,ADC,BAND,312A_L
S,1,ADCBAND1,FADC250,10,13,ADC,BAND,412A_L
S,1,ADCBAND1,FADC250,10,14,ADC,BAND,512A_L
S,1,ADCBAND1,FADC250,10,15,ADC,BAND,empty
#,L5 Group,,,,,,,
S,1,ADCBAND1,FADC250,3,0,ADC,BAND,113A_L
S,1,ADCBAND1,FADC250,3,1,ADC,BAND,213A_L
S,1,ADCBAND1,FADC250,3,2,ADC,BAND,313A_L
S,1,ADCBAND1,FADC250,3,3,ADC,BAND,413A_L
S,1,ADCBAND1,FADC250,3,4,ADC,BAND,513A_L
S,1,ADCBAND1,FADC250,3,5,ADC,BAND,114A_L
S,1,ADCBAND1,FADC250,3,6,ADC,BAND,214A_L
S,1,ADCBAND1,FADC250,3,7,ADC,BAND,314A_L
S,1,ADCBAND1,FADC250,3,8,ADC,BAND,414A_L
S,1,ADCBAND1,FADC250,3,9,ADC,BAND,514A_L
S,1,ADCBAND1,FADC250,3,10,ADC,BAND,115A_L
S,1,ADCBAND1,FADC250,3,11,ADC,BAND,215A_L
S,1,ADCBAND1,FADC250,3,12,ADC,BAND,315A_L
S,1,ADCBAND1,FADC250,3,13,ADC,BAND,415A_L
S,1,ADCBAND1,FADC250,3,14,ADC,BAND,515A_L
S,1,ADCBAND1,FADC250,3,15,ADC,BAND,416A_L
#,L6 Group,,,,,,,
S,1,ADCBAND1,FADC250,4,0,ADC,BAND,111A_R
S,1,ADCBAND1,FADC250,4,1,ADC,BAND,211A_R
S,1,ADCBAND1,FADC250,4,2,ADC,BAND,311A_R
S,1,ADCBAND1,FADC250,4,3,ADC,BAND,411A_R
S,1,ADCBAND1,FADC250,4,4,ADC,BAND,511A_R
S,1,ADCBAND1,FADC250,4,5,ADC,BAND,112A_R
S,1,ADCBAND1,FADC250,4,6,ADC,BAND,212A_R
S,1,ADCBAND1,FADC250,4,7,ADC,BAND,312A_R
S,1,ADCBAND1,FADC250,4,8,ADC,BAND,412A_R
S,1,ADCBAND1,FADC250,4,9,ADC,BAND,512A_R
S,1,ADCBAND1,FADC250,4,10,ADC,BAND,113A_R
S,1,ADCBAND1,FADC250,4,11,ADC,BAND,213A_R
S,1,ADCBAND1,FADC250,4,12,ADC,BAND,313A_R
S,1,ADCBAND1,FADC250,4,13,ADC,BAND,413A_R
S,1,ADCBAND1,FADC250,4,14,ADC,BAND,513A_R
S,1,ADCBAND1,FADC250,4,15,ADC,BAND,316A_L
#,L7 Group,,,,,,,
S,1,ADCBAND1,FADC250,5,0,ADC,BAND,114A_R
S,1,ADCBAND1,FADC250,5,1,ADC,BAND,214A_R
S,1,ADCBAND1,FADC250,5,2,ADC,BAND,314A_R
S,1,ADCBAND1,FADC250,5,3,ADC,BAND,414A_R
S,1,ADCBAND1,FADC250,5,4,ADC,BAND,514A_R
S,1,ADCBAND1,FADC250,5,5,ADC,BAND,115A_R
S,1,ADCBAND1,FADC250,5,6,ADC,BAND,215A_R
S,1,ADCBAND1,FADC250,5,7,ADC,BAND,315A_R
S,1,ADCBAND1,FADC250,5,8,ADC,BAND,415A_R
S,1,ADCBAND1,FADC250,5,9,ADC,BAND,515A_R
S,1,ADCBAND1,FADC250,5,10,ADC,BAND,116A_R
S,1,ADCBAND1,FADC250,5,11,ADC,BAND,216A_R
S,1,ADCBAND1,FADC250,5,12,ADC,BAND,316A_R
S,1,ADCBAND1,FADC250,5,13,ADC,BAND,416A_R
S,1,ADCBAND1,FADC250,5,14,ADC,BAND,116A_L
S,1,ADCBAND1,FADC250,5,15,ADC,BAND,216A_L
#,R5 Group,,,,,,,
S,1,ADCBAND1,FADC250,6,0,ADC,BAND,113B_R
S,1,ADCBAND1,FADC250,6,1,ADC,BAND,213B_R
S,1,ADCBAND1,FADC250,6,2,ADC,BAND,313B_R
S,1,ADCBAND1,FADC250,6,3,ADC,BAND,413B_R
S,1,ADCBAND1,FADC250,6,4,ADC,BAND,513B_R
S,1,ADCBAND1,FADC250,6,5,ADC,BAND,114B_R
S,1,ADCBAND1,FADC250,6,6,ADC,BAND,214B_R
S,1,ADCBAND1,FADC250,6,7,ADC,BAND,314B_R
S,1,ADCBAND1,FADC250,6,8,ADC,BAND,414B_R
S,1,ADCBAND1,FADC250,6,9,ADC,BAND,514B_R
S,1,ADCBAND1,FADC250,6,10,ADC,BAND,115B_R
S,1,ADCBAND1,FADC250,6,11,ADC,BAND,215B_R
S,1,ADCBAND1,FADC250,6,12,ADC,BAND,315B_R
S,1,ADCBAND1,FADC250,6,13,ADC,BAND,415B_R
S,1,ADCBAND1,FADC250,6,14,ADC,BAND,515B_R
S,1,ADCBAND1,FADC250,6,15,ADC,BAND,116B_R
#,R6 Group,,,,,,,
S,1,ADCBAND1,FADC250,7,0,ADC,BAND,111B_L
S,1,ADCBAND1,FADC250,7,1,ADC,BAND,211B_L
S,1,ADCBAND1,FADC250,7,2,ADC,BAND,311B_L
S,1,ADCBAND1,FADC250,7,3,ADC,BAND,411B_L
S,1,ADCBAND1,FADC250,7,4,ADC,BAND,511B_L
S,1,ADCBAND1,FADC250,7,5,ADC,BAND,112B_L
S,1,ADCBAND1,FADC250,7,6,ADC,BAND,212B_L
S,1,ADCBAND1,FADC250,7,7,ADC,BAND,312B_L
S,1,ADCBAND1,FADC250,7,8,ADC,BAND,412B_L
S,1,ADCBAND1,FADC250,7,9,ADC,BAND,512B_L
S,1,ADCBAND1,FADC250,7,10,ADC,BAND,113B_L
S,1,ADCBAND1,FADC250,7,11,ADC,BAND,213B_L
S,1,ADCBAND1,FADC250,7,12,ADC,BAND,313B_L
S,1,ADCBAND1,FADC250,7,13,ADC,BAND,413B_L
S,1,ADCBAND1,FADC250,7,14,ADC,BAND,513B_L
S,1,ADCBAND1,FADC250,7,15,ADC,BAND,510_R
#,R7 Group,,,,,,,
S,1,ADCBAND1,FADC250,8,0,ADC,BAND,114B_L
S,1,ADCBAND1,FADC250,8,1,ADC,BAND,214B_L
S,1,ADCBAND1,FADC250,8,2,ADC,BAND,314B_L
S,1,ADCBAND1,FADC250,8,3,ADC,BAND,414B_L
S,1,ADCBAND1,FADC250,8,4,ADC,BAND,514B_L
S,1,ADCBAND1,FADC250,8,5,ADC,BAND,115B_L
S,1,ADCBAND1,FADC250,8,6,ADC,BAND,215B_L
S,1,ADCBAND1,FADC250,8,7,ADC,BAND,315B_L
S,1,ADCBAND1,FADC250,8,8,ADC,BAND,415B_L
S,1,ADCBAND1,FADC250,8,9,ADC,BAND,515B_L
