#, 1st Col , Must be S or #,, ,,,,(S=UsedSlot #=comment)
#, Crate No,   Crate Name  ,Crate Type, Slot,Chan,Sys,Detector,Element
#,"Discriminator FALL SETUP, Disc in Slots 12-15, 17-20",,,,,,,
#,L4 Group,,,,,,,
S,66,ADCBAND1,FADC250,18,8,DISC,BAND,414B_R
S,66,ADCBAND1,FADC250,18,9,DISC,BAND,514B_R
S,66,ADCBAND1,FADC250,18,10,DISC,BAND,115B_R
S,66,ADCBAND1,FADC250,18,11,DISC,BAND,215B_R
S,66,ADCBAND1,FADC250,18,12,DISC,BAND,315B_R
S,66,ADCBAND1,FADC250,18,13,DISC,BAND,415B_R
S,66,ADCBAND1,FADC250,18,14,DISC,BAND,515B_R
S,66,ADCBAND1,FADC250,18,15,DISC,BAND,116B_R
#,R6 Group,,,,,,,
S,66,ADCBAND1,FADC250,19,0,DISC,BAND,111B_L
S,66,ADCBAND1,FADC250,19,1,DISC,BAND,211B_L
S,66,ADCBAND1,FADC250,19,2,DISC,BAND,311B_L
S,66,ADCBAND1,FADC250,19,3,DISC,BAND,411B_L
S,66,ADCBAND1,FADC250,19,4,DISC,BAND,511B_L
S,66,ADCBAND1,FADC250,19,5,DISC,BAND,112B_L
S,66,ADCBAND1,FADC250,19,6,DISC,BAND,212B_L
S,66,ADCBAND1,FADC250,19,7,DISC,BAND,312B_L
S,66,ADCBAND1,FADC250,19,8,DISC,BAND,412B_L
S,66,ADCBAND1,FADC250,19,9,DISC,BAND,512B_L
S,66,ADCBAND1,FADC250,19,10,DISC,BAND,113B_L
S,66,ADCBAND1,FADC250,19,11,DISC,BAND,213B_L
S,66,ADCBAND1,FADC250,19,12,DISC,BAND,313B_L
S,66,ADCBAND1,FADC250,19,13,DISC,BAND,413B_L
S,66,ADCBAND1,FADC250,19,14,DISC,BAND,513B_L
S,66,ADCBAND1,FADC250,19,15,DISC,BAND,510_R
#,R7 Group,,,,,,,
S,66,ADCBAND1,FADC250,20,0,DISC,BAND,114B_L
S,66,ADCBAND1,FADC250,20,1,DISC,BAND,214B_L
S,66,ADCBAND1,FADC250,20,2,DISC,BAND,314B_L
S,66,ADCBAND1,FADC250,20,3,DISC,BAND,414B_L
