LED X Y Component
116 -4 -8 73
117 -4 -9 51
118 -4 -10 29
119 -3 -5 140
120 -3 -6 118
121 -3 -7 96
122 -3 -8 74
123 -3 -9 52
124 -3 -10 30
125 -3 -11 8
126 -2 -5 141
127 -2 -6 119
128 -2 -7 97
129 -2 -8 75
130 -2 -9 53
131 -2 -10 31
132 -2 -11 9
133 -1 -5 142
134 -1 -6 120
135 -1 -7 98
136 -1 -8 76
137 -1 -9 54
138 -1 -10 32
139 -1 -11 10
140 1 -5 143
141 1 -6 121
142 1 -7 99
143 1 -8 77
144 1 -9 55
145 1 -10 33
146 1 -11 11
147 2 -5 144
148 2 -6 122
149 2 -7 100
150 2 -8 78
151 2 -9 56
152 2 -10 34
153 2 -11 12
154 3 -5 145
155 3 -6 123
156 3 -7 101
157 3 -8 79
158 3 -9 57
159 3 -10 35
160 3 -11 13
161 4 -7 102
162 4 -8 80
163 4 -9 58
164 4 -10 36
165 5 -9 59
166 5 -10 37
167 6 -10 38
168 7 -9 61
170 8 -8 84
171 6 -9 60
172 6 -8 82
173 7 -8 83
174 9 -7 107
175 5 -8 81
176 7 -7 105
177 8 -7 106
178 5 -7 103
179 6 -7 104
180 9 -6 129
181 10 -6 130
182 7 -6 127
183 8 -6 128
184 5 -6 125
185 6 -6 126
186 10 -5 152
187 4 -6 124
188 8 -5 150
189 9 -5 151
190 6 -5 148
191 7 -5 149
192 4 -5 146
193 5 -5 147
194 9 -4 173
195 10 -4 174
196 7 -4 171
197 8 -4 172
198 5 -4 169
199 6 -4 170
200 3 -4 167
201 4 -4 168
202 9 -3 195
203 10 -3 196
204 7 -3 193
205 8 -3 194
206 5 -3 191
207 6 -3 192
208 10 -2 218
209 4 -3 190
210 8 -2 216
211 9 -2 217
212 6 -2 214
213 7 -2 215
214 10 -1 240
215 5 -2 213
216 8 -1 238
217 9 -1 239
218 6 -1 236
219 7 -1 237
220 11 -3 197
221 5 -1 235
222 11 -1 241
223 11 -2 219
224 11 3 307
226 11 1 263
227 11 2 285
228 9 1 261
229 10 1 262
230 7 1 259
231 8 1 260
232 5 1 257
233 6 1 258
234 9 2 283
235 10 2 284
236 7 2 281
237 8 2 282
238 5 2 279
239 6 2 280
240 9 3 305
241 10 3 306
242 7 3 303
243 8 3 304
244 5 3 301
245 6 3 302
246 10 4 328
247 4 3 300
248 8 4 326
249 9 4 327
250 6 4 324
251 7 4 325
252 4 4 322
253 5 4 323
254 10 5 350
255 3 4 321
256 8 5 348
257 9 5 349
258 6 5 346
259 7 5 347
260 4 5 344
261 5 5 345
262 9 6 371
263 10 6 372
264 7 6 369
265 8 6 370
266 5 6 367
267 6 6 368
268 9 7 393
269 4 6 366
270 7 7 391
271 8 7 392
272 5 7 389
273 6 7 390
274 7 8 413
275 8 8 414
276 5 8 411
277 6 8 412
278 6 9 434
279 7 9 435
280 5 10 455
281 6 10 456
282 4 10 454
283 5 9 433
284 4 8 410
285 4 9 432
286 3 11 475
287 4 7 388
288 3 9 431
289 3 10 453
290 3 7 387
291 3 8 409
292 3 5 343
293 3 6 365
294 2 10 452
295 2 11 474
296 2 8 408
297 2 9 430
298 2 6 364
299 2 7 386
300 1 11 473
301 2 5 342
302 1 9 429
303 1 10 451
304 1 7 385
305 1 8 407
306 1 5 341
307 1 6 363
308 -1 10 450
309 -1 11 472
310 -1 8 406
311 -1 9 428
312 -1 6 362
313 -1 7 384
314 -2 11 471
315 -1 5 340
316 -2 9 427
317 -2 10 449
318 -2 7 383
319 -2 8 405
320 -2 5 339
321 -2 6 361
322 -3 10 448
323 -3 11 470
324 -3 8 404
325 -3 9 426
326 -3 6 360
327 -3 7 382
328 -4 10 447
329 -3 5 338
330 -4 8 403
331 -4 9 425
332 -5 10 446
333 -4 7 381
334 -6 10 445
335 -5 9 424
