LED X Y Component
0 -6 9 423
2 -5 8 402
3 -7 9 422
4 -7 8 400
5 -6 8 401
6 -5 7 380
7 -8 8 399
8 -7 7 378
9 -6 7 379
10 -9 7 376
11 -8 7 377
12 -5 6 358
13 -4 6 359
14 -7 6 356
15 -6 6 357
16 -9 6 354
17 -8 6 355
18 -4 5 337
19 -10 6 353
20 -6 5 335
21 -5 5 336
22 -8 5 333
23 -7 5 334
24 -10 5 331
25 -9 5 332
26 -4 4 315
27 -3 4 316
28 -6 4 313
29 -5 4 314
30 -8 4 311
31 -7 4 312
32 -10 4 309
33 -9 4 310
34 -5 3 292
35 -4 3 293
36 -7 3 290
37 -6 3 291
38 -9 3 288
39 -8 3 289
40 -5 2 270
41 -10 3 287
42 -7 2 268
43 -6 2 269
44 -9 2 266
45 -8 2 267
46 -5 1 248
47 -10 2 265
48 -7 1 246
49 -6 1 247
50 -9 1 244
51 -8 1 245
52 -11 1 242
53 -10 1 243
54 -11 3 286
55 -11 2 264
56 -5 -1 226
58 -7 -1 224
59 -6 -1 225
60 -9 -1 222
61 -8 -1 223
62 -11 -1 220
63 -10 -1 221
64 -6 -2 203
65 -5 -2 204
66 -8 -2 201
67 -7 -2 202
68 -10 -2 199
69 -9 -2 200
70 -4 -3 183
71 -11 -2 198
72 -6 -3 181
73 -5 -3 182
74 -8 -3 179
75 -7 -3 180
76 -10 -3 177
77 -9 -3 178
78 -3 -4 162
79 -11 -3 176
80 -5 -4 160
81 -4 -4 161
82 -7 -4 158
83 -6 -4 159
84 -9 -4 156
85 -8 -4 157
86 -4 -5 139
87 -10 -4 155
88 -6 -5 137
89 -5 -5 138
90 -8 -5 135
91 -7 -5 136
92 -10 -5 133
93 -9 -5 134
94 -5 -6 116
95 -4 -6 117
96 -7 -6 114
97 -6 -6 115
98 -9 -6 112
99 -8 -6 113
100 -5 -7 94
101 -10 -6 111
102 -7 -7 92
103 -6 -7 93
104 -9 -7 90
105 -8 -7 91
106 -6 -8 71
107 -5 -8 72
108 -8 -8 69
109 -7 -8 70
110 -7 -9 48
111 -6 -9 49
112 -6 -10 27
113 -5 -9 50
114 -5 -10 28
115 -4 -7 95
